  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps

------------------------------------------------
               Surf. Water Temp. (degrees C)

Year Day    Sup.   Mich.   Huron    Erie    Ont.
1995 061    1.94    1.60    1.18    0.71    1.59
1995 062    1.94    1.12    0.81    0.71    1.70
1995 063    1.89    1.49    0.50    0.71    1.55
1995 064    1.89    1.49    0.57    0.72    1.19
1995 065    1.89    1.50    0.57    0.72    1.22
1995 066    1.89    1.50    0.57    0.72    1.22
1995 067    1.90    1.50    0.57    0.72    1.22
1995 068    1.80    1.54    0.51    0.36    1.22
1995 069    1.80    1.54    0.51    0.37    1.21
1995 070    1.76    2.59    0.54    1.39    1.21
1995 071    1.64    0.22    2.22    2.06    2.48
1995 072    1.94    0.54    1.89    1.86    0.90
1995 073    1.94    1.57    1.88    0.92    0.79
1995 074    0.58    1.57    1.89    0.73    0.80
1995 075    0.61    0.88    1.89    0.73    0.80
1995 076    0.65    0.89    1.89    0.73    0.81
1995 077    0.65    0.90    1.73    0.79    1.24
1995 078    0.65    0.90    1.73    0.79    1.24
1995 079    0.65    0.90    1.73    0.80    1.24
1995 080    0.65    0.90    1.74    0.80    1.24
1995 081    0.65    1.05    1.68    0.80    1.24
1995 082    1.32    1.10    0.31    0.80    1.24
1995 083    1.64    2.61    1.67    1.86    2.25
1995 084    1.65    2.62    1.66    2.17    2.86
1995 085    0.08    2.62    0.89    2.17    2.86
1995 086    0.65    2.50    0.53    1.01    1.68
1995 087    1.68    2.55    1.00    1.02    1.53
1995 088    1.52    2.78    1.68    2.14    2.07
1995 089    0.54    2.71    0.98    2.15    2.07
1995 090    0.35    1.33    0.60    1.36    2.13
1995 091    0.40    1.33    0.63    1.17    1.57
1995 092    0.85    1.74    0.68    1.17    1.20
1995 093    1.08    1.78    2.18    1.20    2.01
1995 094    1.08    1.81    2.18    1.20    2.02
1995 095    1.03    1.69    0.79    1.89    1.99
1995 096    0.97    2.15    0.77    1.89    1.41
1995 097    0.78    1.99    0.80    2.72    2.07
1995 098    1.65    1.99    0.80    2.57    2.07
1995 099    0.30    1.93    0.86    2.58    3.14
1995 100    0.94    1.93    0.69    2.50    1.96
1995 101    0.94    1.91    1.12    1.17    1.25
1995 102    0.93    1.95    0.96    2.44    1.20
1995 103    0.90    1.95    0.99    2.44    1.32
1995 104    0.94    2.02    1.08    2.44    1.32
1995 105    0.89    1.88    1.59    2.19    2.19
1995 106    1.18    1.89    2.16    2.41    3.00
1995 107    2.22    2.16    2.08    2.51    2.77
1995 108    2.23    2.16    1.93    2.51    2.04
1995 109    0.83    2.16    1.93    2.67    2.07
1995 110    1.30    2.84    1.57    2.64    2.34
1995 111    1.30    2.84    1.57    4.53    2.42
1995 112    1.19    2.48    2.43    4.77    2.46
1995 113    1.10    2.01    1.71    4.18    3.11
1995 114    1.10    2.07    1.69    5.20    3.12
1995 115    0.74    2.71    1.69    3.83    1.93
1995 116    0.77    2.66    1.72    4.44    1.93
1995 117    0.76    2.66    1.72    4.44    2.02
1995 118    0.79    3.06    1.72    5.05    3.65
1995 119    1.20    2.74    1.93    5.31    3.65
1995 120    1.19    2.72    1.87    5.31    2.71
1995 121    1.19    2.85    2.14    5.17    4.21
1995 122    1.41    3.09    2.14    5.17    4.05
1995 123    1.26    2.95    2.46    5.41    4.46
1995 124    1.13    2.85    2.49    5.41    4.09
1995 125    1.35    3.97    3.18    7.71    4.52
1995 126    1.76    3.62    3.70    6.73    4.79
1995 127    1.76    3.28    2.94    8.73    4.51
1995 128    1.60    3.36    2.59    8.45    4.13
1995 129    1.60    3.43    2.59    8.45    4.13
1995 130    1.60    3.43    2.59    8.39    4.13
1995 131    1.88    5.26    2.59    8.39    4.13
1995 132    2.51    5.08    5.03    8.64    5.16
1995 133    2.52    5.08    5.03    8.65    5.18
1995 134    2.44    5.08    5.03    8.06    5.37
1995 135    1.74    4.98    4.98    8.07    5.37
1995 136    1.83    4.98    4.86    9.51    5.82
1995 137    1.86    5.02    4.06    9.51    5.83
1995 138    2.53    4.86    4.07    9.51    5.83
1995 139    2.47    5.92    4.89   10.36    5.89
1995 140    2.43    5.33    5.10    9.86    6.93
1995 141    2.43    6.80    4.54    9.92    7.05
1995 142    2.68    6.51    5.20   11.42    6.13
1995 143    2.65    6.51    5.20   11.49    6.40
1995 144    2.34    6.51    5.20   11.49    6.40
1995 145    2.37    6.67    5.61   11.49    6.40
1995 146    2.98    6.32    5.75   12.91    7.57
1995 147    2.98    6.33    5.74   12.32    8.67
1995 148    2.99    6.32    5.74   12.31    8.67
1995 149    3.48    6.32    5.75   12.21    8.67
1995 150    3.12    8.30    6.62   12.23    7.48
1995 151    3.39    7.92    6.83   13.50    8.39
1995 152    2.61    8.56    7.25   13.22    8.39
1995 153    3.88    8.56    7.25   13.21    8.39
1995 154    3.88    8.56    7.25   13.83    8.39
1995 155    3.92   11.60    9.36   16.26   12.28
1995 156    4.17   11.89   10.17   16.88   12.57
1995 157    4.17   12.75   12.43   17.70   12.22
1995 158    4.17   12.55   12.40   17.83   19.71
1995 159    3.87   12.21    7.07   17.83   19.71
1995 160    3.80   12.21    7.32   17.53   11.56
1995 161    3.81   11.66    7.32   17.53   11.20
1995 162    3.92   10.95    7.40   17.45   11.20
1995 163    4.15    9.41    7.64   17.45   11.21
1995 164    4.15   11.42   10.06   16.54   13.34
1995 165    4.18   12.94   10.27   17.22   14.57
1995 166    3.60   14.20   11.31   17.67   15.24
1995 167    4.66   13.09   10.35   19.43   16.68
1995 168    8.31   14.54   12.97   19.51   15.17
1995 169    7.12   13.58   12.39   19.52   14.83
1995 170    7.55   18.42   14.72   21.26   17.54
1995 171    6.81   19.24   13.75   22.10   18.74
1995 172    7.44   17.51   13.19   19.81   17.67
1995 173    7.93   19.98   15.82   20.22   17.93
1995 174    9.78   20.19   17.49   19.47   18.64
1995 175   10.45   21.82   18.15   19.47   18.76
1995 176   10.35   21.49   19.40   19.83   18.76
1995 177    9.98   19.15   19.31   20.93   18.77
1995 178    9.98   19.20   19.31   20.94   18.77
1995 179   10.02   19.02   19.02   20.85   18.77
1995 180   10.02   18.90   18.82   20.46   18.46
1995 181   10.02   19.34   18.51   20.38   18.46
1995 182   10.02   17.94   15.94   20.38   18.71
1995 183    9.74   16.99   14.42   20.42   17.91
1995 184    9.73   16.04   14.23   20.09   16.93
1995 185    6.39   16.49   15.45   20.32   17.83
1995 186    6.39   16.50   15.88   20.37   18.18
1995 187    6.46   16.48   15.73   20.46   18.17
1995 188    5.47   16.36   15.44   21.00   19.22
1995 189    5.62   16.06   14.10   19.64   19.22
1995 190    6.93   16.91   14.95   19.64   19.11
1995 191    6.91   16.73   14.57   19.49   17.76
1995 192    6.90   16.58   14.85   20.16   17.84
1995 193    6.90   18.62   14.94   21.86   19.87
1995 194    7.00   20.91   19.16   23.28   22.89
1995 195    7.37   21.06   20.40   23.20   21.12
1995 196    9.00   22.30   18.01   25.05   21.93
1995 197    9.00   22.30   18.02   25.06   21.93
1995 198    8.98   19.77   18.02   23.51   21.94
1995 199    8.84   19.23   17.23   22.53   21.41
1995 200    8.84   19.28   16.69   22.28   20.71
1995 201    9.65   19.44   17.60   22.50   20.72
1995 202    9.79   20.34   18.94   23.57   20.33
1995 203   10.42   18.40   18.84   23.03   20.97
1995 204   12.48   21.22   19.68   22.91   20.97
1995 205   13.68   21.29   21.09   22.91   20.98
1995 206   14.08   21.23   19.95   22.91   20.86
1995 207   15.64   22.05   19.79   23.81   22.53
1995 208   13.73   21.23   21.30   25.26   24.97
1995 209   14.25   21.30   21.27   24.83   21.98
1995 210   12.16   21.62   20.93   24.50   23.20
1995 211   13.87   22.28   22.00   25.04   23.93
1995 212   13.61   22.33   21.64   25.35   24.24
1995 213   13.86   21.55   20.44   25.18   23.11
1995 214   14.41   21.43   20.33   25.19   23.12
1995 215   16.63   21.43   20.33   25.64   23.12
1995 216   16.31   22.25   20.33   25.56   23.12
1995 217   16.31   22.03   20.33   25.56   23.12
1995 218   16.14   21.68   20.83   24.40   23.12
1995 219   16.14   21.68   20.79   24.28   21.56
1995 220   16.87   23.37   20.79   24.29   21.78
1995 221   16.89   22.99   21.44   24.42   22.50
1995 222   16.93   22.88   20.71   25.07   23.64
1995 223   16.76   22.94   21.17   24.68   22.72
1995 224   17.01   22.92   22.24   24.89   22.35
1995 225   18.49   24.55   21.71   25.10   23.50
1995 226   16.12   23.57   21.64   25.86   23.32
1995 227   16.33   23.80   22.51   26.66   25.84
1995 228   17.14   23.78   21.94   26.20   25.66
1995 229   17.14   23.78   21.94   26.09   24.46
1995 230   17.18   21.81   22.16   26.10   24.91
1995 231   17.18   23.68   22.43   25.96   24.18
1995 232   17.09   23.92   22.66   26.87   24.87
1995 233   16.11   23.85   22.10   25.69   24.29
1995 234   16.58   24.77   20.98   25.18   23.16
1995 235   16.44   23.18   20.79   25.65   22.98
1995 236   16.47   22.66   20.10   25.16   22.39
1995 237   16.23   21.72   19.53   24.82   22.28
1995 238   17.05   22.54   19.64   25.47   22.29
1995 239   15.73   21.80   20.06   24.48   22.28
1995 240   16.58   20.85   19.95   22.69   21.21
1995 241   16.91   22.08   20.12   24.38   22.05
1995 242   16.85   22.90   19.82   24.52   21.52
1995 243   15.92   21.62   19.27   24.14   21.37
1995 244   16.84   21.89   19.20   24.11   20.43
1995 245   17.11   21.38   18.87   23.94   20.55
1995 246   16.71   22.07   18.89   23.20   19.62
1995 247   17.15   22.13   19.93   23.64   21.37
1995 248   16.75   22.76   19.60   23.78   20.85
1995 249   16.72   22.71   19.40   24.47   20.75
1995 250   13.59   20.94   17.83   24.47   20.76
1995 251   13.14   20.82   17.71   24.47   18.98
1995 252   12.99   18.74   18.04   22.20   19.42
1995 253   13.12   19.37   18.49   22.03   19.28
1995 254   13.18   18.46   17.17   21.50   18.55
1995 255   13.30   18.70   17.98   20.34   18.07
1995 256   13.54   18.61   17.22   20.60   18.15
1995 257   13.54   17.83   17.15   20.81   18.17
1995 258   12.56   18.06   17.06   20.46   18.57
1995 259   12.80   18.35   16.30   21.12   17.40
1995 260   12.81   18.08   16.31   20.93   17.40
1995 261   13.34   17.13   16.98   20.41   17.80
1995 262   13.34   17.13   16.01   19.93   17.27
1995 263   13.04   17.13   16.01   19.93   17.28
1995 264   12.84   17.13   16.01   19.93   18.74
1995 265   12.84   17.14   16.01   19.93   18.49
1995 266   11.76   15.04   14.65   18.44   15.77
1995 267   11.74   15.04   14.46   17.50   15.39
1995 268   11.68   15.08   14.47   17.50   15.26
1995 269   11.12   15.10   14.47   17.91   15.60
1995 270   11.87   15.94   15.08   18.12   16.43
1995 271   11.37   15.70   14.39   17.88   16.10
1995 272   11.31   15.43   13.68   17.38   16.22
1995 273   11.31   15.40   15.10   18.47   16.24
1995 274   11.31   15.34   14.35   17.77   16.33
1995 275   11.32   15.03   14.11   18.09   16.08
1995 276   11.32   15.03   14.11   18.09   13.52
1995 277   10.55   15.10   14.09   18.09   13.53
1995 278   10.48   15.10   14.09   18.10   13.53
1995 279   10.51   15.03   14.10   18.10   13.53
1995 280   10.51   15.03   13.92   16.18   13.75
1995 281    9.15   14.25   13.92   16.18   13.91
1995 282    9.19   13.87   13.86   17.09   13.92
1995 283   10.06   14.13   12.67   16.75   13.79
1995 284    9.73   14.09   13.43   17.05   14.65
1995 285   10.03   14.43   13.89   17.10   15.25
1995 286    9.87   13.72   13.20   17.23   15.54
1995 287    9.88   13.73   13.23   17.24   15.54
1995 288    9.82   13.44   13.23   17.24   15.55
1995 289    9.22   12.99   13.03   15.31   15.14
1995 290    8.45   11.07   11.07   14.78   11.80
1995 291    8.09   12.14   11.13   15.01   11.80
1995 292    8.09   12.01   11.08   13.63   11.53
1995 293    8.09   12.01   11.04   14.04   11.53
1995 294    8.09   12.02   11.04   14.05   11.54
1995 295    8.09   12.02   11.04   13.47   11.54
1995 296    8.10   10.48   10.29   14.22   11.69
1995 297    8.10   10.48   10.29   13.70   11.50
1995 298    7.92   10.61   10.28   13.70   11.50
1995 299    6.98   10.03    9.33   13.21   11.00
1995 300    6.98   10.04    9.33   13.21   11.01
1995 301    6.98   10.04    9.34   13.22   11.01
1995 302    6.98    9.66    9.34   13.13   11.01
1995 303    6.98    9.69    9.30   13.07   10.82
1995 304    6.95    9.69    9.30   13.07   10.82
1995 305    6.95    9.69    9.30   13.03   10.83
1995 306    6.95    9.69    9.30   13.03   10.83
1995 307    6.95    9.69    9.34   13.03   10.59
1995 308    6.92    9.64    9.34   13.03   10.43
1995 309    5.96    8.66    8.57   12.78    9.67
1995 310    5.95    8.66    8.45   11.03    8.27
1995 311    5.96    8.66    8.45   11.03    8.27
1995 312    5.96    8.67    8.45   11.03    8.28
1995 313    5.96    8.67    8.45   10.95    8.22
1995 314    5.96    8.67    8.45   10.95    8.22
1995 315    5.96    8.67    8.45   10.95    8.23
1995 316    5.96    8.67    8.45   10.95    8.23
1995 317    5.90    8.59    8.45   10.95    8.23
1995 318    5.83    7.02    8.37   10.96    8.23
1995 319    5.24    6.96    8.37   10.96    8.23
1995 320    5.24    6.96    8.37   10.96    8.23
1995 321    5.24    6.96    8.37   10.96    8.23
1995 322    5.24    6.96    8.38   10.96    8.23
1995 323    5.24    6.89    8.38   10.96    8.23
1995 324    5.26    6.74    5.83   10.43    8.23
1995 325    5.26    6.74    5.83   10.43    8.23
1995 326    5.26    6.63    5.84   10.43    8.23
1995 327    5.20    5.47    5.84   10.43    8.23
1995 328    5.20    5.48    5.76    9.97    6.47
1995 329    5.20    5.51    5.76    9.97    6.47
1995 330    5.08    5.51    5.76    9.97    6.47
1995 331    5.08    5.51    5.76    9.97    6.47
1995 332    5.08    5.51    5.77    9.97    6.47
1995 333    5.08    4.94    5.61    9.97    6.18
1995 334    5.08    4.95    5.61    9.54    6.18
1995 335    5.05    5.59    5.61    9.54    6.18
1995 336    5.05    5.59    5.51    9.40    6.47
1995 337    5.05    5.00    5.51    9.23    6.48
1995 338    4.94    4.93    5.33    6.65    6.50
1995 339    4.94    4.80    5.33    6.65    6.31
1995 340    4.94    4.20    5.14    5.28    6.14
1995 341    4.94    4.45    5.14    5.19    6.14
1995 342    4.95    4.37    5.14    5.19    4.94
1995 343    4.95    4.37    5.14    5.19    4.94
1995 344    4.95    4.26    5.14    5.20    4.94
1995 345    4.95    4.19    5.04    5.04    4.78
1995 346    4.95    4.19    5.05    5.04    4.73
1995 347    4.95    4.19    4.86    5.04    3.77
1995 348    4.95    4.19    4.86    4.60    3.77
1995 349    4.95    3.61    4.86    4.60    3.78
1995 350    4.63    3.04    4.76    4.60    3.78
1995 351    4.63    2.80    4.76    1.63    3.77
1995 352    4.63    2.80    4.76    1.83    3.77
1995 353    4.63    2.80    4.57    1.83    3.77
1995 354    4.63    2.84    4.57    1.76    3.78
1995 355    4.64    2.83    4.57    1.76    3.78
1995 356    4.40    2.84    4.57    1.77    3.72
1995 357    2.45    2.84    4.57    1.77    3.72
1995 358    2.46    2.84    4.58    1.77    3.68
1995 359    2.48    2.84    4.58    1.77    3.68
1995 360    2.44    2.84    4.58    1.77    2.70
1995 361    2.28    2.80    4.58    1.77    2.70
1995 362    2.28    2.78    4.14    1.77    2.93
1995 363    2.10    2.61    3.83    0.80    2.93
1995 364    2.11    2.62    3.83    0.42    2.93
1995 365    2.11    2.62    3.83    0.59    2.94
